timestamp,Cursor,Other Models
2026-08-29T21:18:04Z,0.2517,0.6118
2026-08-29T21:49:17Z,0.2541,0.6118
2026-08-29T22:00:01Z,0.2595,0.6192
2026-08-29T22:23:50Z,0.2613,0.6234
2026-08-29T22:56:50Z,0.2702,0.6352
2026-08-29T23:04:14Z,0.2726,0.6353
2026-08-29T23:32:33Z,0.2738,0.6366
2026-08-30T02:11:28Z,0.2830,0.7423
2026-08-30T03:07:23Z,0.2831,0.7749
2026-08-30T03:45:50Z,0.2875,0.7793
2026-08-30T03:51:42Z,0.2875,0.7793
2026-08-30T14:43:08Z,0.2875,0.7793
2026-08-30T16:26:46Z,0.2926,0.7793
2026-08-30T17:19:07Z,0.2926,0.7793
2026-08-30T18:00:01Z,0.2926,0.7793
2026-08-30T19:00:01Z,0.2926,0.7793
2026-08-30T20:00:01Z,0.2926,0.7793
2026-08-30T21:00:01Z,0.2926,0.7793
2026-08-30T22:00:01Z,0.2926,0.7793
2026-08-30T23:00:01Z,0.2926,0.7793
2026-08-31T00:00:01Z,0.2926,0.7793
2026-08-31T01:00:01Z,0.2926,0.7793
2026-08-31T02:00:01Z,0.2926,0.7793
2026-08-31T03:00:02Z,0.2926,0.7793
2026-08-31T04:00:02Z,0.2926,0.7793
2026-08-31T05:00:01Z,0.2926,0.7793
2026-08-31T06:00:01Z,0.2926,0.7793
2026-08-31T07:00:01Z,0.2926,0.7793
2026-08-31T08:00:01Z,0.2926,0.7793
2026-08-31T09:00:01Z,0.2926,0.7793
2026-08-31T10:00:00Z,0.2926,0.7793
2026-08-31T11:00:01Z,0.2926,0.7793
2026-08-31T12:00:01Z,0.2926,0.7793
2026-08-31T13:00:01Z,0.2926,0.7793
2026-08-31T14:00:01Z,0.2926,0.7793
2026-08-31T15:00:02Z,0.2926,0.7793
2026-08-31T16:00:01Z,0.2926,0.7793
2026-08-31T17:00:01Z,0.2926,0.7793
2026-08-31T18:00:01Z,0.2926,0.7793
2026-08-31T19:00:03Z,0.2926,0.7793
2026-08-31T20:00:02Z,0.2926,0.7793
2026-08-31T21:00:03Z,0.2926,0.7793
2026-08-31T22:00:03Z,0.2926,0.7793
2026-08-31T23:00:01Z,0.2926,0.7793
2026-09-01T14:08:46Z,0.2926,0.7793
2026-09-01T15:00:00Z,0.2926,0.7793
2026-09-01T16:00:02Z,0.2926,0.7793
2026-09-01T17:00:01Z,0.2926,0.7793
2026-09-01T18:00:01Z,0.2926,0.7793
2026-09-01T19:00:01Z,0.2926,0.7793
2026-09-01T20:00:02Z,0.2926,0.7793
2026-09-01T21:00:01Z,0.2926,0.7793
2026-09-01T22:00:01Z,0.2926,0.7793
2026-09-01T23:00:01Z,0.2926,0.7793
2026-09-02T00:00:01Z,0.2926,0.7793
2026-09-02T10:53:37Z,0.2926,0.7793
2026-09-02T11:00:01Z,0.2926,0.7793
2026-09-02T12:00:01Z,0.2926,0.7793
2026-09-02T13:00:01Z,0.2926,0.7793
2026-09-02T14:00:01Z,0.2926,0.7793
2026-09-02T15:00:01Z,0.2926,0.7793
2026-09-02T16:00:01Z,0.2926,0.7793
2026-09-02T17:00:01Z,0.2926,0.7793
2026-09-02T18:00:01Z,0.2926,0.7793
2026-09-02T19:00:01Z,0.2926,0.7793
2026-09-02T20:00:01Z,0.2926,0.7793
2026-09-02T21:00:01Z,0.2926,0.7793
