day number,date,Cursor (expected),Other Models (expected),Cursor (estimated),Other Models (estimated),IsDataPoint
1,2026-08-02,0.0000,0.0000,0.0613,0.0000,0
2,2026-08-03,0.0006,0.0016,0.0618,0.0018,0
3,2026-08-04,0.0100,0.0242,0.0694,0.0272,0
4,2026-08-05,0.0193,0.0469,0.0769,0.0527,0
5,2026-08-06,0.0286,0.0696,0.0845,0.0781,0
6,2026-08-07,0.0379,0.0922,0.0920,0.1036,0
7,2026-08-08,0.0473,0.1149,0.0996,0.1291,0
8,2026-08-09,0.0566,0.1375,0.1071,0.1545,0
9,2026-08-10,0.0659,0.1602,0.1147,0.1800,0
10,2026-08-11,0.0752,0.1829,0.1223,0.2054,0
11,2026-08-12,0.0845,0.2055,0.1298,0.2309,0
12,2026-08-13,0.0939,0.2282,0.1374,0.2563,0
13,2026-08-14,0.1032,0.2508,0.1449,0.2818,0
14,2026-08-15,0.1125,0.2735,0.1525,0.3073,0
15,2026-08-16,0.1218,0.2962,0.1600,0.3327,0
16,2026-08-17,0.1311,0.3188,0.1676,0.3582,0
17,2026-08-18,0.1405,0.3415,0.1751,0.3836,0
18,2026-08-19,0.1498,0.3642,0.1827,0.4091,0
19,2026-08-20,0.1591,0.3868,0.1903,0.4345,0
20,2026-08-21,0.1684,0.4095,0.1978,0.4600,0
21,2026-08-22,0.1777,0.4321,0.2054,0.4855,0
22,2026-08-23,0.1871,0.4548,0.2129,0.5109,0
23,2026-08-24,0.1964,0.4775,0.2205,0.5364,0
24,2026-08-25,0.2057,0.5001,0.2280,0.5618,0
25,2026-08-26,0.2150,0.5228,0.2356,0.5873,0
26,2026-08-27,0.2244,0.5454,0.2431,0.6127,0
27,2026-08-28,0.2337,0.5681,0.2507,0.6382,0
28,2026-08-29,0.2430,0.5908,0.2582,0.6637,1
29,2026-08-30,0.2712,0.6352,0.2658,0.6891,1
30,2026-08-31,0.2926,0.7793,0.2734,0.7146,1
31,2026-09-01,0.2926,0.7793,0.2809,0.7400,1
32,2026-09-02,0.2926,0.7793,0.2885,0.7655,1
