timestamp,Cursor,Other Models
2026-08-18T11:40:13Z,0.3390,0.5256
2026-08-18T11:52:06Z,0.3396,0.5256
2026-08-18T11:54:20Z,0.3396,0.5256
2026-08-18T12:01:24Z,0.3404,0.5256
2026-08-18T12:43:35Z,0.3414,0.5256
2026-08-18T13:21:39Z,0.3443,0.5256
2026-08-18T15:09:50Z,0.3478,0.5256
2026-08-18T16:47:34Z,0.3498,0.5256
2026-08-18T16:58:06Z,0.3501,0.5256
2026-08-18T17:02:24Z,0.3509,0.5256
2026-08-18T18:40:01Z,0.3512,0.5256
2026-08-18T18:47:22Z,0.3522,0.5256
2026-08-18T19:51:20Z,0.3592,0.5256
2026-08-18T20:00:02Z,0.3592,0.5256
2026-08-18T20:30:41Z,0.3592,0.5256
2026-08-18T20:56:46Z,0.3607,0.5256
2026-08-18T21:00:38Z,0.3617,0.5256
2026-08-18T21:27:04Z,0.3624,0.5256
2026-08-18T22:00:25Z,0.3654,0.5256
2026-08-18T23:00:01Z,0.3666,0.5265
2026-08-19T00:08:24Z,0.3708,0.5676
2026-08-19T00:47:47Z,0.3722,0.6118
2026-08-19T00:49:51Z,0.3722,0.6118
2026-08-19T01:00:10Z,0.3743,0.6118
2026-08-19T01:28:17Z,0.3775,0.6118
2026-08-19T02:00:00Z,0.3775,0.6118
2026-08-19T03:00:01Z,0.3775,0.6118
2026-08-19T04:00:01Z,0.3775,0.6118
2026-08-19T05:00:01Z,0.3775,0.6118
2026-08-19T06:00:01Z,0.3775,0.6118
2026-08-19T07:00:01Z,0.3775,0.6118
2026-08-19T08:00:01Z,0.3775,0.6118
2026-08-19T09:00:01Z,0.3775,0.6118
2026-08-19T09:37:58Z,0.3775,0.6118
2026-08-19T18:13:07Z,0.3775,0.6118
2026-08-19T19:00:02Z,0.3775,0.6118
2026-08-19T20:00:02Z,0.3775,0.6118
2026-08-19T21:00:01Z,0.3775,0.6118
