timestamp,Cursor,Other Models
2026-08-18T11:40:13Z,0.3390,0.5256
2026-08-18T11:52:06Z,0.3396,0.5256
2026-08-18T11:54:20Z,0.3396,0.5256
2026-08-18T12:01:24Z,0.3404,0.5256
2026-08-18T12:43:35Z,0.3414,0.5256
2026-08-18T13:21:39Z,0.3443,0.5256
2026-08-18T15:09:50Z,0.3478,0.5256
2026-08-18T16:47:34Z,0.3498,0.5256
2026-08-18T16:58:06Z,0.3501,0.5256
2026-08-18T17:02:24Z,0.3509,0.5256
2026-08-18T18:40:01Z,0.3512,0.5256
2026-08-18T18:47:22Z,0.3522,0.5256
2026-08-18T19:08:39Z,0.3543,0.5256
2026-08-18T19:11:45Z,0.3543,0.5256
